Cities,City Latitude,City Longitude,Max Temperature,Humidity,Cloud Coverage,Wind Speed,City Country,City datetime
new norfolk,-42.78,147.06,54.0,79,100,2.44,AU,1595564794
saint george,37.1,-113.58,82.0,36,1,10.29,US,1595565203
torbay,47.67,-52.73,62.01,100,90,14.99,CA,1595564797
derzhavinsk,51.1,66.32,75.06,50,99,13.85,KZ,1595565231
kaitangata,-46.28,169.85,46.99,57,100,13.0,NZ,1595564858
zhangye,38.93,100.45,66.7,65,100,8.08,CN,1595565231
busselton,-33.65,115.33,63.0,52,34,9.66,AU,1595565368
springfield,37.22,-93.3,80.6,74,1,9.17,US,1595565003
port alfred,-33.59,26.89,61.65,33,0,8.41,ZA,1595564799
cape town,-33.93,18.42,59.0,54,0,10.29,ZA,1595564788
punta arenas,-53.15,-70.92,39.2,80,100,17.22,CL,1595564646
tuktoyaktuk,69.45,-133.04,60.8,51,20,13.87,CA,1595565369
ushuaia,-54.8,-68.3,39.2,80,90,20.8,AR,1595564770
khandyga,62.67,135.6,85.87,31,1,1.54,RU,1595565233
rocha,-34.48,-54.33,59.72,96,96,4.79,UY,1595564874
rikitea,-23.12,-134.97,67.26,59,35,14.07,PF,1595565370
mount isa,-20.73,139.5,78.8,27,0,8.05,AU,1595564881
yellowknife,62.46,-114.35,55.4,93,75,14.99,CA,1595564736
sorland,67.67,12.69,52.29,90,100,25.88,NO,1595564866
praia,14.92,-23.51,78.8,83,75,4.7,CV,1595565235
avigliano,40.73,15.72,65.16,62,0,4.43,IT,1595565235
gazanjyk,39.24,55.52,89.85,35,5,2.24,TM,1595565235
hobbs,32.7,-103.14,80.6,51,20,17.22,US,1595565169
kruisfontein,-34.0,24.73,62.92,27,0,11.1,ZA,1595564791
isangel,-19.55,169.27,84.2,70,40,11.41,VU,1595564801
mataura,-46.19,168.86,42.66,76,95,6.17,NZ,1595565372
vaini,-21.2,-175.2,73.4,88,40,11.41,TO,1595565372
chanute,37.68,-95.46,80.6,74,1,4.7,US,1595565236
